dataset,generation,mean,std,max,median,selected_mean,dataset_display
adult_income,0,1.214874193763028,0.527574780078139,2.409610375068928,1.272283156322037,1.657802587058088,Adult Income
adult_income,1,1.2146833854542365,0.6013756708958021,2.496160993981181,1.306195352411388,1.6933837124144173,Adult Income
adult_income,2,1.2077795189269156,0.5788060143845641,2.469214388234428,1.3056491142129987,1.7022990567474579,Adult Income
breast_cancer,0,1.2948046189816922,0.5941336788906837,2.499998676007378,1.2836790037645458,1.7657344911745194,Breast Cancer
breast_cancer,1,1.299415284114297,0.5500174388730487,2.465663972212517,1.3102588421051575,1.7352750717621916,Breast Cancer
breast_cancer,2,1.240329352932462,0.5910860871570729,2.499998383941097,1.2753236994511383,1.7627727107840396,Breast Cancer
credit,0,1.4298689648684164,0.5362436507740789,2.8548013510696704,1.393345787846247,1.8096621677058449,Credit
credit,1,1.3533877040561524,0.5403095283984883,2.851863824749143,1.282087050569605,1.774434443458198,Credit
credit,2,1.1941865517842811,0.535594349222715,2.7536663599420086,1.1863904665373364,1.8669250495329226,Credit
heart,0,1.15676111888943,0.5320929315214866,2.4224135806305664,1.223050407765609,1.601332885901885,Heart
heart,1,1.224397438727651,0.5044050318850363,2.4999997530311657,1.2202728939752086,1.4282470139910801,Heart
heart,2,1.1398014371246865,0.548757805083785,2.4999997863751093,1.1478561382697665,1.7731938247692454,Heart
pima,0,1.2313353190199101,0.5429682054419289,2.2333691726772,1.2119240574187014,1.0323187221654229,PIMA
pima,1,1.3641408473423773,0.5270754973094942,2.3501120667138795,1.324900882639204,1.8788906492896538,PIMA
pima,2,1.6062711814154413,0.6419024013355424,2.9999994750485364,1.6629692593957497,2.3448652751731593,PIMA
