dataset,method,dcr_mean,dcr_std,mia_mean,mia_std,method_display,dataset_display
adult_income,ctgan,0.20290080207201616,0.013477978889055803,0.5010022222222222,0.019031631239973142,CTGAN,Adult Income
adult_income,gaussian_copula,0.37532062470424565,0.017654773964072584,0.49807999999999997,0.028662290148262957,GC,Adult Income
adult_income,madifft,1.743898910762086,0.4220858438288647,0.49962,0.010217995502972444,MADiff-T,Adult Income
adult_income,stasy,1.709593452513938,0.14974066842013625,0.5095444444444445,0.016437521065094683,STaSy,Adult Income
adult_income,tabddpm_single,0.44986752775157335,0.05689978106647392,0.48649555555555557,0.025439306371086025,TabDDPM,Adult Income
adult_income,tabsyn,0.18599567450372634,0.008319760229102429,0.5110844444444445,0.03752098885874773,TabSyn,Adult Income
adult_income,tvae,0.15705356378323151,0.012726031783507185,0.5082577777777778,0.02241141877164465,TVAE,Adult Income
breast_cancer,ctgan,4.391351341507271,0.30065153492172103,0.45472514619883037,0.026206967982233098,CTGAN,Breast Cancer
breast_cancer,gaussian_copula,1.4743237850761255,0.0,0.4838245614035088,0.007622510352080619,GC,Breast Cancer
breast_cancer,madifft,11.064690332704469,2.6889368383813443,0.4507719298245614,0.03867238241505921,MADiff-T,Breast Cancer
breast_cancer,stasy,17.420777932576378,0.8412287951508037,0.5183157894736843,0.03567226056855181,STaSy,Breast Cancer
breast_cancer,tabddpm_single,9.090907657560368,1.322782814444007,0.47342690058479536,0.019328993756996586,TabDDPM,Breast Cancer
breast_cancer,tabsyn,1.3200835170887837,0.09041210210372165,0.5123976608187134,0.020366205493067113,TabSyn,Breast Cancer
breast_cancer,tvae,1.5843635307351356,0.008362369164039138,0.4777309941520468,0.00631814446022995,TVAE,Breast Cancer
credit,ctgan,0.4578033369340531,0.03752488001112194,0.5152266666666666,0.014185152644774606,CTGAN,Credit
credit,gaussian_copula,0.38967793268718265,0.014076196748662069,0.52858,0.0068381933936448825,GC,Credit
credit,madifft,1.9301677683929648,1.0131209982797178,0.48206,0.04401653350983271,MADiff-T,Credit
credit,stasy,1.7454865717996675,0.3294245829844763,0.51434,0.026055777776830172,STaSy,Credit
credit,tabddpm_single,0.7308235059126742,0.06686411994338977,0.56884,0.015757227618531815,TabDDPM,Credit
credit,tabsyn,0.30268823041198145,0.02364907441446922,0.5055066666666667,0.03547861953972345,TabSyn,Credit
credit,tvae,0.21388883359825156,0.01776917835448811,0.5147733333333333,0.013986608674808282,TVAE,Credit
heart,ctgan,1.4933626934896702,0.31053320786123234,0.5092690574172055,0.08053136951914017,CTGAN,Heart
heart,gaussian_copula,0.9223416924829924,0.0,0.508132471095434,0.0,GC,Heart
heart,madifft,3.567388616872047,0.3782862634040865,0.44166176758769343,0.053396167257342426,MADiff-T,Heart
heart,stasy,3.340628296169065,0.2460143789746875,0.5179012345679013,0.033050072366107394,STaSy,Heart
heart,tabddpm_single,3.0924917518604675,0.2809810314679294,0.5505388986870468,0.06031203575217683,TabDDPM,Heart
heart,tabsyn,0.6907070997087696,0.19903341691513632,0.4485253772290809,0.053268469328218035,TabSyn,Heart
heart,tvae,0.5473337804514438,0.04370316458356293,0.5448167744464041,0.009767146691751475,TVAE,Heart
pima,ctgan,0.6785433698190363,0.08452610122810741,0.5171948051948052,0.01498887351810187,CTGAN,PIMA
pima,gaussian_copula,0.5854321017173971,0.011607053140911762,0.5079913419913419,0.006786299401025017,GC,PIMA
pima,madifft,0.5280627295928929,0.034710086125682584,0.5443549783549784,0.016543526655696913,MADiff-T,PIMA
pima,stasy,4.612804803840779,0.2847359319430135,0.48376623376623373,0.033357513577518955,STaSy,PIMA
pima,tabddpm_single,0.48613917913402227,0.03235558829514298,0.5572900432900433,0.01364490215738663,TabDDPM,PIMA
pima,tabsyn,0.43144927174279274,0.030300392050496606,0.5042683982683983,0.02025526738651535,TabSyn,PIMA
pima,tvae,0.42536056641774955,0.02592105570903667,0.5085108225108226,0.011686050767381124,TVAE,PIMA
