dataset,generation,mean,std,max,median,selected_mean
adult_income,0,1.1818706584496323,0.5962094792603903,2.499286312817937,1.2467182525117961,1.8057158517546854
adult_income,1,1.2129603098455604,0.6135937358487459,2.498429159208884,1.245478891623897,1.8925735220589819
adult_income,2,1.2044238856065792,0.6610698119990125,2.49872584754008,1.1617458840861379,1.96397557442127
breast_cancer,0,1.2152486061232666,0.5925461460682302,2.4999977508678746,1.2019536600671372,1.7436240713535767
breast_cancer,1,1.2681150246305883,0.6136122118725339,2.499999093057742,1.3464471745624051,1.6601270073663605
breast_cancer,2,1.2532641430120743,0.6466015103098252,2.4999989384766894,1.206673507803726,1.8207199956840054
credit,0,1.3352195729980967,0.6915644061038884,2.8896066717198714,1.2130943584960454,1.9483419232270625
credit,1,1.2743806649087925,0.8054434683387378,2.700257821180144,1.0852030504766779,2.059403070822631
credit,2,1.184960157015721,0.7281224566153198,2.499995757198615,1.0129750203728143,2.1556649791791203
heart,0,1.2095703502093433,0.5480303270713145,2.1030403808546065,1.3374707835002089,1.7956262997177264
heart,1,1.2447370691316002,0.5374782918004657,2.126533950376291,1.3606398547485794,1.7467181473557556
heart,2,1.2048667192385183,0.5101534389510011,2.499999834027245,1.17986493261496,1.8057934521534815
pima,0,1.1635857997865464,0.6456331364355833,2.4999990768796687,1.1355050281109358,1.7162463992886883
pima,1,1.538688310226225,0.5790090173934247,2.5960928544226203,1.471839664324358,1.850753976634895
pima,2,1.4661093232035463,0.6868213912540923,2.528978552638184,1.5032929817982705,2.21564845084047
