dataset,label,utility_mean,utility_std,mia_auc_mean,mia_auc_std
adult_income,Privacy-only pick,54.16607903940642,13.949116715978846,0.46899955555555556,0.015631777700379258
adult_income,Selected (privacy-in-loop),65.60759819616,9.614582830843261,0.5084542222222221,0.026408617249310436
adult_income,Utility-only pick,73.86476077198645,2.455820084750988,0.5054728888888889,0.022297812428456958
breast_cancer,Privacy-only pick,61.957671957671955,27.16354464473218,0.42231812865497076,0.02041327928033183
breast_cancer,Selected (privacy-in-loop),77.66137566137566,19.575390821963428,0.49747602339181285,0.033556478734030115
breast_cancer,Utility-only pick,91.55555555555554,4.5776370001372,0.4875836257309941,0.04453901948894197
credit,Privacy-only pick,55.56084656084656,11.385229764485365,0.5106962962962963,0.032282143518103906
credit,Selected (privacy-in-loop),61.19047619047618,5.247394343127861,0.5536851851851852,0.013641461626550225
credit,Utility-only pick,67.64021164021165,1.9893581832730611,0.5525740740740741,0.008944035532405815
heart,Privacy-only pick,49.90740740740741,14.788286433453344,0.39777255209353973,0.02257353263561947
heart,Selected (privacy-in-loop),57.68518518518518,25.08114403308251,0.4644000261284212,0.03144153415754802
heart,Utility-only pick,78.51851851851852,8.746545467392753,0.48004441831602324,0.043189794169560106
pima,Privacy-only pick,61.456790123456784,20.976525735113203,0.4938167388167389,0.008826219505501443
pima,Selected (privacy-in-loop),63.02469135802469,18.122910140778615,0.5292207792207791,0.018694623628354667
pima,Utility-only pick,80.22222222222221,4.332161918274226,0.5084343434343435,0.022521333155046095
