dataset,method,mean_acc_pct,std_acc_pct,mia_mean
breast_cancer,GC,92.98245614035088,0.0,0.4838245614035088
breast_cancer,TVAE,92.28070175438596,2.3537557657892503,0.4777309941520468
breast_cancer,CTGAN,65.08771929824562,18.29951552337585,0.4547251461988303
breast_cancer,TabDDPM,63.33333333333333,0.3922926276315399,0.4810409356725146
breast_cancer,TabSyn,89.82456140350877,10.40869963101145,0.5123976608187134
breast_cancer,STaSy,31.57894736842105,9.84646680729984,0.5183157894736843
breast_cancer,MADiffT,66.14035087719297,6.6689746697362144,0.4786783625730995
adult_income,GC,78.55168601437258,0.0,0.4980799999999999
adult_income,TVAE,80.25649530127141,1.21783388953966,0.5082577777777778
adult_income,CTGAN,82.14483139856273,0.3718936029088799,0.5010022222222222
adult_income,TabDDPM,73.53454947484799,1.8922985755914297,0.4895755555555555
adult_income,TabSyn,85.09314227226203,0.27018392551723,0.5110844444444445
adult_income,STaSy,55.02968270214943,28.8119352469769,0.5095444444444445
adult_income,MADiffT,74.87451630735214,0.7689011203767634,0.5095133333333333
pima,GC,70.77922077922078,0.0,0.5079913419913419
pima,TVAE,71.55844155844156,1.06699199513993,0.5085108225108226
pima,CTGAN,59.48051948051948,5.70911808839825,0.5171948051948052
pima,TabDDPM,62.33766233766234,5.07159069864068,0.561064935064935
pima,TabSyn,74.54545454545455,9.91616060717978,0.5042683982683983
pima,STaSy,35.06493506493506,0.91832049504746,0.4837662337662337
pima,MADiffT,65.06493506493507,1.5503034267939342,0.559064935064935
heart,GC,75.92592592592592,0.0,0.508132471095434
heart,TVAE,78.14814814814814,2.02860206483394,0.5448167744464041
heart,CTGAN,47.4074074074074,11.4605544050117,0.5092690574172055
heart,TabDDPM,47.4074074074074,15.96249032556292,0.5185185185185185
heart,TabSyn,83.7037037037037,10.00685636007874,0.4485253772290809
heart,STaSy,62.22222222222222,12.66861583443486,0.5179012345679013
heart,MADiffT,54.8148148148148,9.314649140710593,0.4845776993925142
credit,GC,69.0,0.0,0.52858
credit,TVAE,70.19999999999999,2.46475150877324,0.5147733333333333
credit,CTGAN,67.6,3.2672618505409,0.5152266666666666
credit,TabDDPM,70.1,0.41833001326703,0.5561533333333333
credit,TabSyn,72.8,1.92353840616713,0.5055066666666667
credit,STaSy,43.0,16.446884203398522,0.51434
credit,MADiffT,64.0,11.079259903080168,0.5245333333333333
